gameweek,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,game_detail,season,league,possession_home,possession_away,shot_on_target_home,shot_on_target_away,saves_home,saves_away
1,Fri,2015-08-07,20:30,Lille,,0–1,,Paris S-G,,Stade Pierre-Mauroy,https://fbref.com/en/matches/3127095c/Lille-Paris-Saint-Germain-August-7-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>52%</strong></div>,<div><strong>48%</strong></div>,<div>2 of 12 — <strong>17%</strong></div>,<div><strong>43%</strong> — 3 of 7</div>,<div>1 of 3 — <strong>33%</strong></div>,<div><strong>100%</strong> — 2 of 2</div>
1,Sat,2015-08-08,21:00,Montpellier,,0–2,,Angers,,Stade de la Mosson,https://fbref.com/en/matches/232acad2/Montpellier-Angers-August-8-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>63%</strong></div>,<div><strong>37%</strong></div>,<div>4 of 11 — <strong>36%</strong></div>,<div><strong>38%</strong> — 6 of 16</div>,<div>4 of 6 — <strong>66%</strong></div>,<div><strong>100%</strong> — 4 of 4</div>
1,Sat,2015-08-08,21:00,Nantes,,1–0,,Guingamp,,Stade de la Beaujoire - Louis Fonteneau,https://fbref.com/en/matches/23b6d0ee/Nantes-Guingamp-August-8-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>56%</strong></div>,<div><strong>44%</strong></div>,<div>4 of 9 — <strong>44%</strong></div>,<div><strong>40%</strong> — 4 of 10</div>,<div>4 of 4 — <strong>100%</strong></div>,<div><strong>100%</strong> — 4 of 4</div>
1,Sat,2015-08-08,21:00,Troyes,,0–0,,Gazélec Ajaccio,,Stade Ange Casanova,https://fbref.com/en/matches/548792b8/Troyes-Gazelec-Ajaccio-August-8-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>53%</strong></div>,<div><strong>47%</strong></div>,<div>4 of 12 — <strong>33%</strong></div>,<div><strong>14%</strong> — 1 of 7</div>,<div>1 of 1 — <strong>100%</strong></div>,<div><strong>100%</strong> — 4 of 4</div>
1,Sat,2015-08-08,21:00,Nice,,1–2,,Monaco,,Stade de Nice,https://fbref.com/en/matches/5b7c19b8/Nice-Monaco-August-8-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>43%</strong></div>,<div><strong>57%</strong></div>,<div>2 of 6 — <strong>33%</strong></div>,<div><strong>33%</strong> — 6 of 18</div>,<div>4 of 6 — <strong>66%</strong></div>,<div><strong>50%</strong> — 1 of 2</div>
1,Sat,2015-08-08,21:00,Marseille,,0–1,,Caen,,Orange Vélodrome,https://fbref.com/en/matches/66dbcd03/Marseille-Caen-August-8-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>70%</strong></div>,<div><strong>30%</strong></div>,<div>6 of 18 — <strong>33%</strong></div>,<div><strong>50%</strong> — 4 of 8</div>,<div>3 of 4 — <strong>75%</strong></div>,<div><strong>83%</strong> — 5 of 6</div>
1,Sat,2015-08-08,21:00,Bastia,,2–1,,Rennes,,Stade Armand Césari,https://fbref.com/en/matches/bff4535d/Bastia-Rennes-August-8-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>48%</strong></div>,<div><strong>52%</strong></div>,<div>3 of 11 — <strong>27%</strong></div>,<div><strong>50%</strong> — 3 of 6</div>,<div>2 of 3 — <strong>66%</strong></div>,<div><strong>0%</strong> — 0 of 3</div>
1,Sun,2015-08-09,17:00,Bordeaux,,1–2,,Reims,,Stade Jacques Chaban-Delmas,https://fbref.com/en/matches/39808a49/Bordeaux-Reims-August-9-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>50%</strong></div>,<div><strong>50%</strong></div>,<div>4 of 13 — <strong>31%</strong></div>,<div><strong>43%</strong> — 6 of 14</div>,<div>4 of 6 — <strong>66%</strong></div>,<div><strong>75%</strong> — 3 of 4</div>
1,Sun,2015-08-09,17:00,Toulouse,,2–1,,Saint-Étienne,,Stadium Municipal,https://fbref.com/en/matches/b39894dd/Toulouse-Saint-Etienne-August-9-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>47%</strong></div>,<div><strong>53%</strong></div>,<div>3 of 9 — <strong>33%</strong></div>,<div><strong>18%</strong> — 2 of 11</div>,<div>1 of 2 — <strong>50%</strong></div>,<div><strong>33%</strong> — 1 of 3</div>
1,Sun,2015-08-09,21:00,Lyon,,0–0,,Lorient,,Matmut Stadium de Gerland,https://fbref.com/en/matches/5afde659/Lyon-Lorient-August-9-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>62%</strong></div>,<div><strong>38%</strong></div>,<div>6 of 21 — <strong>29%</strong></div>,<div><strong>50%</strong> — 5 of 10</div>,<div>4 of 5 — <strong>80%</strong></div>,<div><strong>100%</strong> — 6 of 6</div>
2,Fri,2015-08-14,20:30,Monaco,,0–0,,Lille,,Stade Louis II.,https://fbref.com/en/matches/1b5f6a7d/Monaco-Lille-August-14-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>63%</strong></div>,<div><strong>37%</strong></div>,<div>3 of 9 — <strong>33%</strong></div>,<div><strong>22%</strong> — 2 of 9</div>,<div>2 of 2 — <strong>100%</strong></div>,<div><strong>100%</strong> — 3 of 3</div>
2,Sat,2015-08-15,17:00,Saint-Étienne,,1–1,,Bordeaux,,Stade Geoffroy-Guichard,https://fbref.com/en/matches/83e515bf/Saint-Etienne-Bordeaux-August-15-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>46%</strong></div>,<div><strong>54%</strong></div>,<div>2 of 7 — <strong>29%</strong></div>,<div><strong>18%</strong> — 3 of 17</div>,<div>2 of 3 — <strong>66%</strong></div>,<div><strong>50%</strong> — 1 of 2</div>
2,Sat,2015-08-15,20:00,Rennes,,1–0,,Montpellier,,Roazhon Park,https://fbref.com/en/matches/18e1add2/Rennes-Montpellier-August-15-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>47%</strong></div>,<div><strong>53%</strong></div>,<div>2 of 10 — <strong>20%</strong></div>,<div><strong>0%</strong> — 0 of 4</div>,<div>0 of 0 — <strong>%</strong></div>,<div><strong>100%</strong> — 2 of 2</div>
2,Sat,2015-08-15,20:00,Troyes,,3–3,,Nice,,Stade de l'Aube,https://fbref.com/en/matches/6dfc38bd/Troyes-Nice-August-15-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>43%</strong></div>,<div><strong>57%</strong></div>,<div>6 of 10 — <strong>60%</strong></div>,<div><strong>38%</strong> — 6 of 16</div>,<div>3 of 6 — <strong>50%</strong></div>,<div><strong>50%</strong> — 3 of 6</div>
2,Sat,2015-08-15,20:00,Guingamp,,0–1,,Lyon,,Stade du Roudourou,https://fbref.com/en/matches/a8d08469/Guingamp-Lyon-August-15-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>36%</strong></div>,<div><strong>65%</strong></div>,<div>3 of 11 — <strong>27%</strong></div>,<div><strong>27%</strong> — 3 of 11</div>,<div>2 of 3 — <strong>66%</strong></div>,<div><strong>66%</strong> — 2 of 3</div>
2,Sat,2015-08-15,20:00,Angers,,0–0,,Nantes,,Stade Raymond Kopa,https://fbref.com/en/matches/ac2602a6/Angers-Nantes-August-15-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>49%</strong></div>,<div><strong>51%</strong></div>,<div>3 of 10 — <strong>30%</strong></div>,<div><strong>50%</strong> — 1 of 2</div>,<div>1 of 1 — <strong>100%</strong></div>,<div><strong>100%</strong> — 3 of 3</div>
2,Sat,2015-08-15,20:00,Caen,,1–0,,Toulouse,,Stade Michel d'Ornano,https://fbref.com/en/matches/fb421731/Caen-Toulouse-August-15-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>44%</strong></div>,<div><strong>56%</strong></div>,<div>3 of 9 — <strong>33%</strong></div>,<div><strong>31%</strong> — 4 of 13</div>,<div>4 of 4 — <strong>100%</strong></div>,<div><strong>66%</strong> — 2 of 3</div>
2,Sun,2015-08-16,14:00,Reims,,1–0,,Marseille,,Stade Auguste-Delaune II,https://fbref.com/en/matches/acf62a11/Reims-Marseille-August-16-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>40%</strong></div>,<div><strong>60%</strong></div>,<div>5 of 15 — <strong>33%</strong></div>,<div><strong>31%</strong> — 4 of 13</div>,<div>4 of 4 — <strong>100%</strong></div>,<div><strong>80%</strong> — 4 of 5</div>
2,Sun,2015-08-16,17:00,Lorient,,1–1,,Bastia,,Stade Yves Allainmat - Le Moustoir,https://fbref.com/en/matches/7eee8c8b/Lorient-Bastia-August-16-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>67%</strong></div>,<div><strong>33%</strong></div>,<div>4 of 12 — <strong>33%</strong></div>,<div><strong>50%</strong> — 1 of 2</div>,<div>1 of 1 — <strong>100%</strong></div>,<div><strong>75%</strong> — 3 of 4</div>
2,Sun,2015-08-16,21:00,Paris S-G,,2–0,,Gazélec Ajaccio,,Parc des Princes,https://fbref.com/en/matches/ef739520/Paris-Saint-Germain-Gazelec-Ajaccio-August-16-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>70%</strong></div>,<div><strong>30%</strong></div>,<div>6 of 18 — <strong>33%</strong></div>,<div><strong>25%</strong> — 2 of 8</div>,<div>2 of 2 — <strong>100%</strong></div>,<div><strong>66%</strong> — 4 of 6</div>
3,Fri,2015-08-21,20:30,Montpellier,,0–1,,Paris S-G,,Stade de la Mosson,https://fbref.com/en/matches/2d372cbc/Montpellier-Paris-Saint-Germain-August-21-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>36%</strong></div>,<div><strong>64%</strong></div>,<div>3 of 10 — <strong>30%</strong></div>,<div><strong>56%</strong> — 5 of 9</div>,<div>4 of 5 — <strong>80%</strong></div>,<div><strong>100%</strong> — 3 of 3</div>
3,Sat,2015-08-22,17:00,Lyon,,1–2,,Rennes,,Matmut Stadium de Gerland,https://fbref.com/en/matches/49fc4137/Lyon-Rennes-August-22-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>67%</strong></div>,<div><strong>33%</strong></div>,<div>4 of 15 — <strong>27%</strong></div>,<div><strong>50%</strong> — 3 of 6</div>,<div>1 of 3 — <strong>33%</strong></div>,<div><strong>75%</strong> — 3 of 4</div>
3,Sat,2015-08-22,20:00,Toulouse,,1–1,,Monaco,,Stadium Municipal,https://fbref.com/en/matches/2daa0adf/Toulouse-Monaco-August-22-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>43%</strong></div>,<div><strong>57%</strong></div>,<div>4 of 12 — <strong>33%</strong></div>,<div><strong>21%</strong> — 3 of 14</div>,<div>2 of 3 — <strong>66%</strong></div>,<div><strong>75%</strong> — 3 of 4</div>
3,Sat,2015-08-22,20:00,Nantes,,1–0,,Reims,,Stade de la Beaujoire - Louis Fonteneau,https://fbref.com/en/matches/6c303d61/Nantes-Reims-August-22-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>51%</strong></div>,<div><strong>49%</strong></div>,<div>5 of 12 — <strong>42%</strong></div>,<div><strong>50%</strong> — 1 of 2</div>,<div>1 of 1 — <strong>100%</strong></div>,<div><strong>80%</strong> — 4 of 5</div>
3,Sat,2015-08-22,20:00,Nice,,2–1,,Caen,,Stade de Nice,https://fbref.com/en/matches/a22048b1/Nice-Caen-August-22-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>66%</strong></div>,<div><strong>34%</strong></div>,<div>4 of 7 — <strong>57%</strong></div>,<div><strong>50%</strong> — 6 of 12</div>,<div>5 of 6 — <strong>83%</strong></div>,<div><strong>50%</strong> — 2 of 4</div>
3,Sat,2015-08-22,20:00,Bastia,,3–0,,Guingamp,,Stade Armand Césari,https://fbref.com/en/matches/cb13984d/Bastia-Guingamp-August-22-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>45%</strong></div>,<div><strong>55%</strong></div>,<div>5 of 10 — <strong>50%</strong></div>,<div><strong>27%</strong> — 4 of 15</div>,<div>4 of 4 — <strong>100%</strong></div>,<div><strong>60%</strong> — 3 of 5</div>
3,Sat,2015-08-22,20:00,Gazélec Ajaccio,,0–2,,Angers,,Stade Ange Casanova,https://fbref.com/en/matches/e97a5ade/Gazelec-Ajaccio-Angers-August-22-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>67%</strong></div>,<div><strong>33%</strong></div>,<div>3 of 8 — <strong>38%</strong></div>,<div><strong>56%</strong> — 5 of 9</div>,<div>3 of 5 — <strong>60%</strong></div>,<div><strong>100%</strong> — 3 of 3</div>
3,Sun,2015-08-23,14:00,Lille,,0–0,,Bordeaux,,Stade Pierre-Mauroy,https://fbref.com/en/matches/89bb257b/Lille-Bordeaux-August-23-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>53%</strong></div>,<div><strong>47%</strong></div>,<div>5 of 16 — <strong>31%</strong></div>,<div><strong>33%</strong> — 4 of 12</div>,<div>4 of 4 — <strong>100%</strong></div>,<div><strong>100%</strong> — 5 of 5</div>
3,Sun,2015-08-23,17:00,Lorient,,0–1,,Saint-Étienne,,Stade Yves Allainmat - Le Moustoir,https://fbref.com/en/matches/4600c18e/Lorient-Saint-Etienne-August-23-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>36%</strong></div>,<div><strong>64%</strong></div>,<div>2 of 10 — <strong>20%</strong></div>,<div><strong>45%</strong> — 5 of 11</div>,<div>4 of 5 — <strong>80%</strong></div>,<div><strong>100%</strong> — 2 of 2</div>
3,Sun,2015-08-23,21:00,Marseille,,6–0,,Troyes,,Orange Vélodrome,https://fbref.com/en/matches/e61c0961/Marseille-Troyes-August-23-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>55%</strong></div>,<div><strong>45%</strong></div>,<div>7 of 16 — <strong>44%</strong></div>,<div><strong>17%</strong> — 1 of 6</div>,<div>1 of 1 — <strong>100%</strong></div>,<div><strong>14%</strong> — 1 of 7</div>
4,Fri,2015-08-28,20:30,Guingamp,,2–0,,Marseille,,Stade du Roudourou,https://fbref.com/en/matches/c2952c92/Guingamp-Marseille-August-28-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>37%</strong></div>,<div><strong>63%</strong></div>,<div>5 of 12 — <strong>42%</strong></div>,<div><strong>43%</strong> — 6 of 14</div>,<div>6 of 6 — <strong>100%</strong></div>,<div><strong>40%</strong> — 2 of 5</div>
4,Sat,2015-08-29,17:00,Caen,,0–4,,Lyon,,Stade Michel d'Ornano,https://fbref.com/en/matches/10f2877a/Caen-Lyon-August-29-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>35%</strong></div>,<div><strong>65%</strong></div>,<div>6 of 14 — <strong>43%</strong></div>,<div><strong>38%</strong> — 5 of 13</div>,<div>1 of 5 — <strong>20%</strong></div>,<div><strong>100%</strong> — 6 of 6</div>
4,Sat,2015-08-29,20:00,Lille,,1–0,,Gazélec Ajaccio,,Stade Pierre-Mauroy,https://fbref.com/en/matches/1076be9e/Lille-Gazelec-Ajaccio-August-29-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>53%</strong></div>,<div><strong>47%</strong></div>,<div>5 of 13 — <strong>38%</strong></div>,<div><strong>50%</strong> — 6 of 12</div>,<div>6 of 6 — <strong>100%</strong></div>,<div><strong>80%</strong> — 4 of 5</div>
4,Sat,2015-08-29,20:00,Angers,,1–1,,Nice,,Stade Raymond Kopa,https://fbref.com/en/matches/a3e5f42f/Angers-Nice-August-29-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>34%</strong></div>,<div><strong>66%</strong></div>,<div>2 of 5 — <strong>40%</strong></div>,<div><strong>42%</strong> — 5 of 12</div>,<div>4 of 5 — <strong>80%</strong></div>,<div><strong>50%</strong> — 1 of 2</div>
4,Sat,2015-08-29,20:00,Reims,,4–1,,Lorient,,Stade Auguste-Delaune II,https://fbref.com/en/matches/b31d172f/Reims-Lorient-August-29-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>49%</strong></div>,<div><strong>51%</strong></div>,<div>10 of 14 — <strong>71%</strong></div>,<div><strong>38%</strong> — 3 of 8</div>,<div>3 of 3 — <strong>100%</strong></div>,<div><strong>50%</strong> — 5 of 10</div>
4,Sat,2015-08-29,20:00,Rennes,,3–1,,Toulouse,,Roazhon Park,https://fbref.com/en/matches/c42b646f/Rennes-Toulouse-August-29-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>51%</strong></div>,<div><strong>49%</strong></div>,<div>4 of 12 — <strong>33%</strong></div>,<div><strong>38%</strong> — 3 of 8</div>,<div>2 of 3 — <strong>66%</strong></div>,<div><strong>25%</strong> — 1 of 4</div>
4,Sat,2015-08-29,20:00,Troyes,,0–0,,Montpellier,,Stade de l'Aube,https://fbref.com/en/matches/cf0646e7/Troyes-Montpellier-August-29-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>43%</strong></div>,<div><strong>57%</strong></div>,<div>1 of 8 — <strong>13%</strong></div>,<div><strong>31%</strong> — 4 of 13</div>,<div>4 of 4 — <strong>100%</strong></div>,<div><strong>100%</strong> — 1 of 1</div>
4,Sun,2015-08-30,14:00,Saint-Étienne,,2–1,,Bastia,,Stade Geoffroy-Guichard,https://fbref.com/en/matches/7e86782a/Saint-Etienne-Bastia-August-30-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>67%</strong></div>,<div><strong>33%</strong></div>,<div>6 of 23 — <strong>26%</strong></div>,<div><strong>17%</strong> — 1 of 6</div>,<div>0 of 1 — <strong>0%</strong></div>,<div><strong>66%</strong> — 4 of 6</div>
4,Sun,2015-08-30,17:00,Bordeaux,,2–0,,Nantes,,Stade Jacques Chaban-Delmas,https://fbref.com/en/matches/121a3d9c/Bordeaux-Nantes-August-30-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>53%</strong></div>,<div><strong>47%</strong></div>,<div>4 of 19 — <strong>21%</strong></div>,<div><strong>10%</strong> — 1 of 10</div>,<div>1 of 1 — <strong>100%</strong></div>,<div><strong>0%</strong> — 0 of 4</div>
4,Sun,2015-08-30,21:00,Monaco,,0–3,,Paris S-G,,Stade Louis II.,https://fbref.com/en/matches/6593bab7/Monaco-Paris-Saint-Germain-August-30-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>29%</strong></div>,<div><strong>71%</strong></div>,<div>2 of 3 — <strong>67%</strong></div>,<div><strong>42%</strong> — 8 of 19</div>,<div>5 of 8 — <strong>62%</strong></div>,<div><strong>100%</strong> — 2 of 2</div>
5,Fri,2015-09-11,20:30,Paris S-G,,2–2,,Bordeaux,,Parc des Princes,https://fbref.com/en/matches/1cdfafe3/Paris-Saint-Germain-Bordeaux-September-11-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>71%</strong></div>,<div><strong>29%</strong></div>,<div>5 of 19 — <strong>26%</strong></div>,<div><strong>30%</strong> — 3 of 10</div>,<div>1 of 3 — <strong>33%</strong></div>,<div><strong>60%</strong> — 3 of 5</div>
5,Sat,2015-09-12,17:00,Lyon,,0–0,,Lille,,Matmut Stadium de Gerland,https://fbref.com/en/matches/d617f4da/Lyon-Lille-September-12-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>57%</strong></div>,<div><strong>43%</strong></div>,<div>6 of 13 — <strong>46%</strong></div>,<div><strong>33%</strong> — 3 of 9</div>,<div>3 of 3 — <strong>100%</strong></div>,<div><strong>100%</strong> — 6 of 6</div>
5,Sat,2015-09-12,20:00,Troyes,,1–3,,Caen,,Stade de l'Aube,https://fbref.com/en/matches/0fbe4f8e/Troyes-Caen-September-12-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>69%</strong></div>,<div><strong>31%</strong></div>,<div>6 of 15 — <strong>40%</strong></div>,<div><strong>53%</strong> — 8 of 15</div>,<div>5 of 8 — <strong>62%</strong></div>,<div><strong>83%</strong> — 5 of 6</div>
5,Sat,2015-09-12,20:00,Nice,,0–1,,Guingamp,,Stade de Nice,https://fbref.com/en/matches/132222ba/Nice-Guingamp-September-12-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>67%</strong></div>,<div><strong>33%</strong></div>,<div>1 of 17 — <strong>6%</strong></div>,<div><strong>38%</strong> — 3 of 8</div>,<div>2 of 3 — <strong>66%</strong></div>,<div><strong>100%</strong> — 1 of 1</div>
5,Sat,2015-09-12,20:00,Toulouse,,2–2,,Reims,,Stadium Municipal,https://fbref.com/en/matches/968e1dd8/Toulouse-Reims-September-12-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>50%</strong></div>,<div><strong>50%</strong></div>,<div>5 of 15 — <strong>33%</strong></div>,<div><strong>45%</strong> — 5 of 11</div>,<div>3 of 5 — <strong>60%</strong></div>,<div><strong>60%</strong> — 3 of 5</div>
5,Sat,2015-09-12,20:00,Montpellier,,1–2,,Saint-Étienne,,Stade de la Mosson,https://fbref.com/en/matches/bfe685f1/Montpellier-Saint-Etienne-September-12-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>49%</strong></div>,<div><strong>51%</strong></div>,<div>8 of 17 — <strong>47%</strong></div>,<div><strong>25%</strong> — 3 of 12</div>,<div>1 of 3 — <strong>33%</strong></div>,<div><strong>87%</strong> — 7 of 8</div>
5,Sat,2015-09-12,20:00,Lorient,,3–1,,Angers,,Stade Yves Allainmat - Le Moustoir,https://fbref.com/en/matches/e019b7f8/Lorient-Angers-September-12-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>51%</strong></div>,<div><strong>49%</strong></div>,<div>6 of 14 — <strong>43%</strong></div>,<div><strong>14%</strong> — 1 of 7</div>,<div>0 of 1 — <strong>0%</strong></div>,<div><strong>50%</strong> — 3 of 6</div>
5,Sun,2015-09-13,14:00,Gazélec Ajaccio,,0–1,,Monaco,,Stade Ange Casanova,https://fbref.com/en/matches/70baa48a/Gazelec-Ajaccio-Monaco-September-13-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>55%</strong></div>,<div><strong>45%</strong></div>,<div>4 of 24 — <strong>17%</strong></div>,<div><strong>62%</strong> — 8 of 13</div>,<div>7 of 8 — <strong>87%</strong></div>,<div><strong>100%</strong> — 4 of 4</div>
5,Sun,2015-09-13,17:00,Nantes,,0–2,,Rennes,,Stade de la Beaujoire - Louis Fonteneau,https://fbref.com/en/matches/8de74f17/Nantes-Rennes-September-13-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>42%</strong></div>,<div><strong>58%</strong></div>,<div>3 of 10 — <strong>30%</strong></div>,<div><strong>38%</strong> — 6 of 16</div>,<div>4 of 6 — <strong>66%</strong></div>,<div><strong>100%</strong> — 3 of 3</div>
5,Sun,2015-09-13,21:00,Marseille,,4–1,,Bastia,,Orange Vélodrome,https://fbref.com/en/matches/8884004a/Marseille-Bastia-September-13-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>59%</strong></div>,<div><strong>41%</strong></div>,<div>7 of 12 — <strong>58%</strong></div>,<div><strong>33%</strong> — 2 of 6</div>,<div>1 of 2 — <strong>50%</strong></div>,<div><strong>42%</strong> — 3 of 7</div>
6,Fri,2015-09-18,20:30,Rennes,,1–1,,Lille,,Roazhon Park,https://fbref.com/en/matches/c4cf3676/Rennes-Lille-September-18-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>49%</strong></div>,<div><strong>51%</strong></div>,<div>3 of 8 — <strong>38%</strong></div>,<div><strong>33%</strong> — 5 of 15</div>,<div>4 of 5 — <strong>80%</strong></div>,<div><strong>66%</strong> — 2 of 3</div>
6,Sat,2015-09-19,17:30,Reims,,1–1,,Paris S-G,,Stade Auguste-Delaune II,https://fbref.com/en/matches/ef3cbcba/Reims-Paris-Saint-Germain-September-19-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>32%</strong></div>,<div><strong>68%</strong></div>,<div>3 of 7 — <strong>43%</strong></div>,<div><strong>41%</strong> — 7 of 17</div>,<div>5 of 7 — <strong>71%</strong></div>,<div><strong>66%</strong> — 2 of 3</div>
6,Sat,2015-09-19,20:00,Caen,,2–1,,Montpellier,,Stade Michel d'Ornano,https://fbref.com/en/matches/71b72ddc/Caen-Montpellier-September-19-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>43%</strong></div>,<div><strong>57%</strong></div>,<div>6 of 16 — <strong>38%</strong></div>,<div><strong>67%</strong> — 2 of 3</div>,<div>2 of 2 — <strong>100%</strong></div>,<div><strong>33%</strong> — 2 of 6</div>
6,Sat,2015-09-19,20:00,Angers,,1–0,,Troyes,,Stade Raymond Kopa,https://fbref.com/en/matches/acda7de2/Angers-Troyes-September-19-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>35%</strong></div>,<div><strong>65%</strong></div>,<div>4 of 16 — <strong>25%</strong></div>,<div><strong>0%</strong> — 0 of 14</div>,<div>0 of 0 — <strong>%</strong></div>,<div><strong>75%</strong> — 3 of 4</div>
6,Sat,2015-09-19,20:00,Bastia,,1–3,,Nice,,Stade Armand Césari,https://fbref.com/en/matches/c12b43d7/Bastia-Nice-September-19-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>49%</strong></div>,<div><strong>51%</strong></div>,<div>2 of 8 — <strong>25%</strong></div>,<div><strong>60%</strong> — 6 of 10</div>,<div>3 of 6 — <strong>50%</strong></div>,<div><strong>50%</strong> — 1 of 2</div>
6,Sat,2015-09-19,20:00,Guingamp,,2–1,,Gazélec Ajaccio,,Stade du Roudourou,https://fbref.com/en/matches/dc34bafc/Guingamp-Gazelec-Ajaccio-September-19-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>63%</strong></div>,<div><strong>37%</strong></div>,<div>4 of 15 — <strong>27%</strong></div>,<div><strong>43%</strong> — 3 of 7</div>,<div>2 of 3 — <strong>66%</strong></div>,<div><strong>25%</strong> — 1 of 4</div>
6,Sun,2015-09-20,14:00,Bordeaux,,1–1,,Toulouse,,Stade Jacques Chaban-Delmas,https://fbref.com/en/matches/90e0c64e/Bordeaux-Toulouse-September-20-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>61%</strong></div>,<div><strong>40%</strong></div>,<div>5 of 18 — <strong>28%</strong></div>,<div><strong>56%</strong> — 5 of 9</div>,<div>4 of 5 — <strong>80%</strong></div>,<div><strong>80%</strong> — 4 of 5</div>
6,Sun,2015-09-20,17:00,Saint-Étienne,,2–0,,Nantes,,Stade Geoffroy-Guichard,https://fbref.com/en/matches/7a85b585/Saint-Etienne-Nantes-September-20-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>53%</strong></div>,<div><strong>47%</strong></div>,<div>3 of 13 — <strong>23%</strong></div>,<div><strong>18%</strong> — 2 of 11</div>,<div>2 of 2 — <strong>100%</strong></div>,<div><strong>33%</strong> — 1 of 3</div>
6,Sun,2015-09-20,17:00,Monaco,,2–3,,Lorient,,Stade Louis II.,https://fbref.com/en/matches/dbbe7504/Monaco-Lorient-September-20-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>64%</strong></div>,<div><strong>36%</strong></div>,<div>6 of 13 — <strong>46%</strong></div>,<div><strong>44%</strong> — 7 of 16</div>,<div>4 of 7 — <strong>57%</strong></div>,<div><strong>66%</strong> — 4 of 6</div>
6,Sun,2015-09-20,21:00,Marseille,,1–1,,Lyon,,Orange Vélodrome,https://fbref.com/en/matches/ceb61cc7/Choc-des-Olympiques-Marseille-Lyon-September-20-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>45%</strong></div>,<div><strong>55%</strong></div>,<div>4 of 14 — <strong>29%</strong></div>,<div><strong>42%</strong> — 5 of 12</div>,<div>4 of 5 — <strong>80%</strong></div>,<div><strong>75%</strong> — 3 of 4</div>
7,Tue,2015-09-22,19:00,Angers,,0–0,,Reims,,Stade Raymond Kopa,https://fbref.com/en/matches/7cfe0021/Angers-Reims-September-22-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>46%</strong></div>,<div><strong>54%</strong></div>,<div>3 of 8 — <strong>38%</strong></div>,<div><strong>25%</strong> — 1 of 4</div>,<div>1 of 1 — <strong>100%</strong></div>,<div><strong>100%</strong> — 3 of 3</div>
