gameweek,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,game_detail,season,league,possession_home,possession_away,shot_on_target_home,shot_on_target_away,saves_home,saves_away
,Sun,2018-05-27,21:00,Toulouse,,1–0,,Ajaccio,,Stadium Municipal,https://fbref.com/en/matches/06517ea5/Toulouse-Ajaccio-May-27-2018-French-12-RelegationPromotion-Play-offs,2017-2018,Ligue-1,,,,,,
1,Fri,2018-08-10,20:45,Marseille,,4–0,,Toulouse,,Orange Vélodrome,https://fbref.com/en/matches/8818bccb/Marseille-Toulouse-August-10-2018-Ligue-1,2018-2019,Ligue-1,<div><strong>60%</strong></div>,<div><strong>40%</strong></div>,<div>9 of 22 — <strong>41%</strong></div>,<div><strong>20%</strong> — 1 of 5</div>,<div>1 of 1 — <strong>100%</strong></div>,<div><strong>66%</strong> — 6 of 9</div>
1,Sat,2018-08-11,17:00,Nantes,,1–3,,Monaco,,Stade de la Beaujoire - Louis Fonteneau,https://fbref.com/en/matches/cfa44f15/Nantes-Monaco-August-11-2018-Ligue-1,2018-2019,Ligue-1,<div><strong>65%</strong></div>,<div><strong>35%</strong></div>,<div>4 of 16 — <strong>25%</strong></div>,<div><strong>55%</strong> — 6 of 11</div>,<div>3 of 6 — <strong>50%</strong></div>,<div><strong>75%</strong> — 3 of 4</div>
1,Sat,2018-08-11,20:00,Montpellier,,1–2,,Dijon,,Stade de la Mosson,https://fbref.com/en/matches/002eb19a/Montpellier-Dijon-August-11-2018-Ligue-1,2018-2019,Ligue-1,<div><strong>54%</strong></div>,<div><strong>46%</strong></div>,<div>7 of 17 — <strong>41%</strong></div>,<div><strong>33%</strong> — 3 of 9</div>,<div>1 of 3 — <strong>33%</strong></div>,<div><strong>85%</strong> — 6 of 7</div>
1,Sat,2018-08-11,20:00,Nice,,0–1,,Reims,,Stade de Nice,https://fbref.com/en/matches/0446fd28/Nice-Reims-August-11-2018-Ligue-1,2018-2019,Ligue-1,<div><strong>69%</strong></div>,<div><strong>31%</strong></div>,<div>1 of 19 — <strong>5%</strong></div>,<div><strong>60%</strong> — 3 of 5</div>,<div>2 of 3 — <strong>66%</strong></div>,<div><strong>100%</strong> — 1 of 1</div>
1,Sat,2018-08-11,20:00,Saint-Étienne,,2–1,,Guingamp,,Stade Geoffroy-Guichard,https://fbref.com/en/matches/74211c45/Saint-Etienne-Guingamp-August-11-2018-Ligue-1,2018-2019,Ligue-1,<div><strong>43%</strong></div>,<div><strong>57%</strong></div>,<div>6 of 11 — <strong>55%</strong></div>,<div><strong>40%</strong> — 4 of 10</div>,<div>4 of 4 — <strong>100%</strong></div>,<div><strong>66%</strong> — 4 of 6</div>
1,Sat,2018-08-11,20:00,Lille,,3–1,,Rennes,,Stade Pierre-Mauroy,https://fbref.com/en/matches/c19cba06/Lille-Rennes-August-11-2018-Ligue-1,2018-2019,Ligue-1,<div><strong>56%</strong></div>,<div><strong>44%</strong></div>,<div>6 of 15 — <strong>40%</strong></div>,<div><strong>25%</strong> — 2 of 8</div>,<div>1 of 2 — <strong>50%</strong></div>,<div><strong>50%</strong> — 3 of 6</div>
1,Sat,2018-08-11,20:00,Angers,,3–4,,Nîmes,,Stade Raymond Kopa,https://fbref.com/en/matches/f18b4a9b/Angers-Nimes-August-11-2018-Ligue-1,2018-2019,Ligue-1,<div><strong>57%</strong></div>,<div><strong>43%</strong></div>,<div>7 of 20 — <strong>35%</strong></div>,<div><strong>29%</strong> — 4 of 14</div>,<div>1 of 4 — <strong>25%</strong></div>,<div><strong>57%</strong> — 4 of 7</div>
1,Sun,2018-08-12,15:00,Lyon,,2–0,,Amiens,,Groupama Stadium,https://fbref.com/en/matches/c17d091d/Lyon-Amiens-August-12-2018-Ligue-1,2018-2019,Ligue-1,<div><strong>67%</strong></div>,<div><strong>33%</strong></div>,<div>7 of 15 — <strong>47%</strong></div>,<div><strong>10%</strong> — 1 of 10</div>,<div>1 of 1 — <strong>100%</strong></div>,<div><strong>71%</strong> — 5 of 7</div>
1,Sun,2018-08-12,17:00,Bordeaux,,0–2,,Strasbourg,,Stade Matmut-Atlantique,https://fbref.com/en/matches/f134cf1e/Bordeaux-Strasbourg-August-12-2018-Ligue-1,2018-2019,Ligue-1,<div><strong>34%</strong></div>,<div><strong>66%</strong></div>,<div>2 of 5 — <strong>40%</strong></div>,<div><strong>35%</strong> — 6 of 17</div>,<div>4 of 6 — <strong>66%</strong></div>,<div><strong>100%</strong> — 2 of 2</div>
1,Sun,2018-08-12,21:00,Paris S-G,,3–0,,Caen,,Parc des Princes,https://fbref.com/en/matches/ed566f34/Paris-Saint-Germain-Caen-August-12-2018-Ligue-1,2018-2019,Ligue-1,<div><strong>65%</strong></div>,<div><strong>35%</strong></div>,<div>8 of 11 — <strong>73%</strong></div>,<div><strong>20%</strong> — 1 of 5</div>,<div>1 of 1 — <strong>100%</strong></div>,<div><strong>62%</strong> — 5 of 8</div>
2,Fri,2018-08-17,20:45,Reims,,1–0,,Lyon,,Stade Auguste-Delaune II,https://fbref.com/en/matches/ff766777/Reims-Lyon-August-17-2018-Ligue-1,2018-2019,Ligue-1,<div><strong>34%</strong></div>,<div><strong>66%</strong></div>,<div>2 of 7 — <strong>29%</strong></div>,<div><strong>26%</strong> — 5 of 19</div>,<div>5 of 5 — <strong>100%</strong></div>,<div><strong>50%</strong> — 1 of 2</div>
2,Sat,2018-08-18,17:00,Guingamp,,1–3,,Paris S-G,,Stade du Roudourou,https://fbref.com/en/matches/6f2eb060/Guingamp-Paris-Saint-Germain-August-18-2018-Ligue-1,2018-2019,Ligue-1,<div><strong>35%</strong></div>,<div><strong>65%</strong></div>,<div>3 of 11 — <strong>27%</strong></div>,<div><strong>31%</strong> — 5 of 16</div>,<div>3 of 5 — <strong>60%</strong></div>,<div><strong>66%</strong> — 2 of 3</div>
2,Sat,2018-08-18,20:00,Amiens,,1–2,,Montpellier,,Stade de la Licorne,https://fbref.com/en/matches/73582813/Amiens-Montpellier-August-18-2018-Ligue-1,2018-2019,Ligue-1,<div><strong>57%</strong></div>,<div><strong>43%</strong></div>,<div>1 of 10 — <strong>10%</strong></div>,<div><strong>43%</strong> — 3 of 7</div>,<div>1 of 3 — <strong>33%</strong></div>,<div><strong>100%</strong> — 1 of 1</div>
2,Sat,2018-08-18,20:00,Rennes,,1–0,,Angers,,Roazhon Park,https://fbref.com/en/matches/797535fb/Rennes-Angers-August-18-2018-Ligue-1,2018-2019,Ligue-1,<div><strong>58%</strong></div>,<div><strong>42%</strong></div>,<div>2 of 5 — <strong>40%</strong></div>,<div><strong>0%</strong> — 0 of 7</div>,<div>0 of 0 — <strong>%</strong></div>,<div><strong>50%</strong> — 1 of 2</div>
